EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901320',902998,93,-88,1711535218.858
b'2023081808726A041A901320',902999,96,-88,1711535218.896
b'2023081808726A041A901320',902998,96,-88,1711535218.93
b'2023081808726A041A901320',902999,96,-88,1711535218.968
b'2023081808726A041A901320',902998,102,-87,1711535219.005
b'2023081808726A041A901320',902999,101,-87,1711535219.04
b'2023081808726A041A901320',902998,102,-88,1711535219.076
b'2023081808726A041A901320',902999,102,-88,1711535219.114
b'2023081808726A041A901320',902998,104,-88,1711535219.151
b'2023081808726A041A901320',902999,102,-88,1711535219.187
b'2023081808726A041A901320',902998,104,-87,1711535219.223
b'2023081808726A041A901320',902999,105,-88,1711535219.262
b'2023081808726A041A901320',902998,106,-88,1711535219.297
b'2023081808726A041A901320',902999,108,-88,1711535219.332
b'2023081808726A041A901320',902998,111,-88,1711535219.37
b'2023081808726A041A901320',902999,108,-88,1711535219.406
b'2023081808726A041A901320',902998,110,-88,1711535219.442
b'2023081808726A041A901320',902999,109,-88,1711535219.477
b'2023081808726A041A901320',902998,111,-88,1711535219.517
b'2023081808726A041A901320',902999,110,-88,1711535219.552
b'2023081808726A041A901320',902998,110,-87,1711535219.588
b'2023081808726A041A901320',902999,110,-88,1711535219.624
b'2023081808726A041A901320',902998,111,-87,1711535219.66
b'2023081808726A041A901320',902999,110,-88,1711535219.698
b'2023081808726A041A901320',902998,115,-88,1711535219.733
b'2023081808726A041A901320',902999,115,-88,1711535219.756
b'2023081808726A041A901320',902998,112,-88,1711535219.792
b'2023081808726A041A901320',902999,114,-88,1711535219.827
b'2023081808726A041A901320',902998,116,-88,1711535219.863
b'2023081808726A041A901320',902999,115,-88,1711535219.9
b'2023081808726A041A901320',902998,117,-88,1711535219.934
b'2023081808726A041A901320',902999,119,-87,1711535219.972
b'2023081808726A041A901320',902998,118,-88,1711535220.013
b'2023081808726A041A901320',902999,116,-88,1711535220.048
b'2023081808726A041A901320',902998,120,-88,1711535220.084
b'2023081808726A041A901320',902999,115,-88,1711535220.12
b'2023081808726A041A901320',902998,113,-89,1711535220.157
b'2023081808726A041A901320',902999,113,-88,1711535220.192
b'2023081808726A041A901320',902998,116,-88,1711535220.228
b'2023081808726A041A901320',902999,115,-89,1711535220.268
b'2023081808726A041A901320',902998,115,-89,1711535220.302
b'2023081808726A041A901320',902999,124,-90,1711535220.338
b'2023081808726A041A901320',902998,125,-89,1711535220.374
b'2023081808726A041A901320',902999,129,-89,1711535220.411
b'2023081808726A041A901320',902998,127,-90,1711535220.448
b'2023081808726A041A901320',902999,134,-90,1711535220.484
b'2023081808726A041A901320',902998,136,-91,1711535220.525
b'2023081808726A041A901320',902999,141,-89,1711535220.56
b'2023081808726A041A901320',902998,151,-90,1711535220.598
b'2023081808726A041A901320',902999,157,-91,1711535220.634
